"messier_id","ngc_ic_num","common_name","img-src","object_type","distance_from_earth","constellation","apparent_mag","right_asc","declination"
"M65[81]","NGC 3623","Leo Triplet","//upload.wikimedia.org/wikipedia/commons/thumb/4/47/M65.jpg/75px-M65.jpg","Barred Spiral galaxy","41,000–42,000","Leo",10.3,"11h 18m 55.9s","+13° 05′ 32″"
"M66[82]","NGC 3627","Leo Triplet","//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Phot-33c-03-fullres.jpg/75px-Phot-33c-03-fullres.jpg","Barred Spiral galaxy","31,000–41,000","Leo",8.9,"11h 20m 15.0s","+12° 59′ 30″"
"M67[83]","NGC 2682","–","//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Messier_object_067.jpg/75px-Messier_object_067.jpg","Open cluster","2.61–2.93","Cancer",6.1,"08h 51.3m","+11° 49′"
"M68[84]","NGC 4590","–","//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Messier_object_068.jpg/75px-Messier_object_068.jpg","Globular cluster",33.6,"Hydra",9.7,"12h 39m 27.98s","−26° 44′ 38.6″"
"M69[85]","NGC 6637","–","//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Messier_object_069.jpg/75px-Messier_object_069.jpg","Globular cluster",29.7,"Sagittarius",8.3,"18h 31m 23.10s","−32° 20′ 53.1″"
"M70[86]","NGC 6681","–","//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Messier70.jpg/75px-Messier70.jpg","Globular cluster",29.4,"Sagittarius",9.1,"18h 43m 12.76s","−32° 17′ 31.6″"
"M71[87]","NGC 6838","–","//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Messier71.jpg/75px-Messier71.jpg","Globular cluster",13,"Sagitta",6.1,"19h 53m 46.49s","+18° 46′ 45.1″"
"M72[88]","NGC 6981","–","//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Messier72.jpg/75px-Messier72.jpg","Globular cluster","53.40–55.74","Aquarius",9.4,"20h 53m 27.70s","−12° 32′ 14.3″"
"M73[89]","NGC 6994","–","//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Messier_073_2MASS.jpg/75px-Messier_073_2MASS.jpg","Asterism","~2.5","Aquarius",9,"20h 58m 54s","−12° 38′"
"M74[90]","NGC 628","Phantom Galaxy[91]","//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Messier_74_by_HST.jpg/75px-Messier_74_by_HST.jpg","Spiral galaxy","24,000–36,000","Pisces",10,"01h 36m 41.8s","+15° 47′ 01″"
"M75[92]","NGC 6864","–","//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Messier75.jpg/75px-Messier75.jpg","Globular cluster",67.5,"Sagittarius",9.2,"20h 06m 04.75s","−21° 55′ 16.2″"
"M76[93]","NGC 650, NGC 651","Little Dumbbell Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/M76-RL5-DDmin-Gamma-LRGB_883x628.jpg/75px-M76-RL5-DDmin-Gamma-LRGB_883x628.jpg","Planetary nebula",2.5,"Perseus",10.1,"01h 42.4m","+51° 34′ 31″"
"M77[94]","NGC 1068","Cetus A","//upload.wikimedia.org/wikipedia/commons/thumb/f/f5/M77_Galaxy_from_the_Mount_Lemmon_SkyCenter_Schulman_Telescope_courtesy_Adam_Block.jpg/75px-M77_Galaxy_from_the_Mount_Lemmon_SkyCenter_Schulman_Telescope_courtesy_Adam_Block.jpg","Spiral galaxy",47000,"Cetus",9.6,"02h 42m 40.7s","−00° 00′ 48″"
"M78[95]","NGC 2068","–","//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Messier_78.jpg/75px-Messier_78.jpg","Diffuse nebula",1.6,"Orion",8.3,"05h 46m 46.7s","+00° 00′ 50″"
